postcode,SA2,2021,Area Name,2026
3072,209021429.0,12828.0,Preston - West,"16,933"
3072,209021428.0,20997.0,Preston - East,"27,245"
3072,209021428.0,20997.0,Preston - East,"27,245"
3072,209021429.0,12828.0,Preston - West,"16,933"
3072,209021428.0,20997.0,Preston - East,"27,245"
3072,209021429.0,12828.0,Preston - West,"16,933"
3072,209021429.0,12828.0,Preston - West,"16,933"
3072,209021428.0,20997.0,Preston - East,"27,245"
3073,209041223.0,20211.0,Thomastown,"22,478"
3073,209021207.0,27930.0,Reservoir - East,"33,462"
3073,209021207.0,27930.0,Reservoir - East,"33,462"
3073,209021207.0,27930.0,Reservoir - East,"33,462"
3073,209021207.0,27930.0,Reservoir - East,"33,462"
3074,209041223.0,20211.0,Thomastown,"22,478"
3075,209041219.0,23663.0,Lalor,"29,649"
3075,209041219.0,23663.0,Lalor,"29,649"
3076,209041433.0,12280.0,Epping - West,"14,567"
3076,209041433.0,12280.0,Epping - West,"14,567"
3078,206021110.0,9072.0,Alphington - Fairfield,"10,702"
3078,206021110.0,9072.0,Alphington - Fairfield,"10,702"
3079,209011200.0,12561.0,Ivanhoe,"14,437"
3079,209011201.0,7801.0,Ivanhoe East - Eaglemont,"8,380"
3079,209011200.0,12561.0,Ivanhoe,"14,437"
3081,209011199.0,15038.0,Heidelberg West,"17,273"
3081,209011199.0,15038.0,Heidelberg West,"17,273"
3081,209011199.0,15038.0,Heidelberg West,"17,273"
3081,209011199.0,15038.0,Heidelberg West,"17,273"
3082,209041220.0,17647.0,Mill Park - North,"18,884"
3083,209041217.0,6239.0,Bundoora - West,"7,382"
3083,209021205.0,10564.0,Kingsbury,"14,057"
3083,209021205.0,10564.0,Kingsbury,"14,057"
3084,209011198.0,16202.0,Heidelberg - Rosanna,"18,986"
3084,209011201.0,7801.0,Ivanhoe East - Eaglemont,"8,380"
3084,209011198.0,16202.0,Heidelberg - Rosanna,"18,986"
3084,209011198.0,16202.0,Heidelberg - Rosanna,"18,986"
3084,209011203.0,18891.0,Viewbank - Yallambie,"19,071"
3085,209021205.0,10564.0,Kingsbury,"14,057"
3085,209011203.0,18891.0,Viewbank - Yallambie,"19,071"
3085,209011203.0,18891.0,Viewbank - Yallambie,"19,071"
3086,209021205.0,10564.0,Kingsbury,"14,057"
3087,209011204.0,9303.0,Watsonia,"9,916"
3087,209011204.0,9303.0,Watsonia,"9,916"
3088,209011202.0,16658.0,Montmorency - Briar Hill,"17,459"
3088,209011197.0,20997.0,Greensborough,"22,624"
3088,209011197.0,20997.0,Greensborough,"22,624"
3088,209011197.0,20997.0,Greensborough,"22,624"
3089,209031215.0,14539.0,Wattle Glen - Diamond Creek,"15,283"
3090,209031213.0,9522.0,Plenty - Yarrambat,"10,290"
3091,209031213.0,9522.0,Plenty - Yarrambat,"10,290"
3093,209011202.0,16658.0,Montmorency - Briar Hill,"17,459"
3094,209011202.0,16658.0,Montmorency - Briar Hill,"17,459"
3095,209031209.0,23711.0,Eltham,"24,743"
3095,209031209.0,23711.0,Eltham,"24,743"
3095,209031214.0,6985.0,Research - North Warrandyte,"7,078"
3096,209031215.0,14539.0,Wattle Glen - Diamond Creek,"15,283"
3097,209031212.0,5124.0,Panton Hill - St Andrews,"5,690"
3097,209031214.0,6985.0,Research - North Warrandyte,"7,078"
3097,209031212.0,5124.0,Panton Hill - St Andrews,"5,690"
3099,209031212.0,5124.0,Panton Hill - St Andrews,"5,690"
3099,209031212.0,5124.0,Panton Hill - St Andrews,"5,690"
3099,209031210.0,3573.0,Hurstbridge,"3,677"
3099,209031212.0,5124.0,Panton Hill - St Andrews,"5,690"
3099,209031212.0,5124.0,Panton Hill - St Andrews,"5,690"
3101,207011153.0,24878.0,Kew,"28,584"
3101,207011153.0,24878.0,Kew,"28,584"
3102,207011154.0,6557.0,Kew East,"7,324"
3103,207011147.0,16332.0,Balwyn,"17,792"
3103,207011147.0,16332.0,Balwyn,"17,792"
3103,207011147.0,16332.0,Balwyn,"17,792"
3103,207011147.0,16332.0,Balwyn,"17,792"
3103,207011154.0,6557.0,Kew East,"7,324"
3104,207011148.0,21411.0,Balwyn North,"22,715"
3104,207011148.0,21411.0,Balwyn North,"22,715"
3105,207021156.0,11371.0,Bulleen,"12,726"
3105,207021156.0,11371.0,Bulleen,"12,726"
3106,207021159.0,17105.0,Templestowe,"18,068"
3107,207021160.0,14278.0,Templestowe Lower,"15,241"
3108,207021157.0,25172.0,Doncaster,"28,803"
3109,207021425.0,15593.0,Doncaster East (South),"16,668"
3109,207021425.0,15593.0,Doncaster East (South),"16,668"
3109,207021424.0,15792.0,Doncaster East (North),"17,345"
3109,207021425.0,15593.0,Doncaster East (South),"16,668"
3111,211021261.0,16406.0,Donvale - Park Orchards,"17,208"
3113,209031214.0,6985.0,Research - North Warrandyte,"7,078"
3113,211021262.0,10183.0,Warrandyte - Wonga Park,"10,805"
3114,211021261.0,16406.0,Donvale - Park Orchards,"17,208"
3115,211021262.0,10183.0,Warrandyte - Wonga Park,"10,805"
3116,211051275.0,11873.0,Chirnside Park,"13,032"
3121,206071144.0,32055.0,Richmond (Vic.),"42,185"
3121,206071144.0,32055.0,Richmond (Vic.),"42,185"
3121,206071144.0,32055.0,Richmond (Vic.),"42,185"
3121,206071144.0,32055.0,Richmond (Vic.),"42,185"
3121,206071144.0,32055.0,Richmond (Vic.),"42,185"
3121,206071144.0,32055.0,Richmond (Vic.),"42,185"
3121,206071144.0,32055.0,Richmond (Vic.),"42,185"
3121,206071144.0,32055.0,Richmond (Vic.),"42,185"
3122,207011152.0,15898.0,Hawthorn East,"19,492"
3122,207011151.0,22188.0,Hawthorn,"28,479"
3122,207011151.0,22188.0,Hawthorn,"28,479"
3122,207011151.0,22188.0,Hawthorn,"28,479"
3122,207011151.0,22188.0,Hawthorn,"28,479"
3123,207011151.0,22188.0,Hawthorn,"28,479"
3123,207011152.0,15898.0,Hawthorn East,"19,492"
3124,207011149.0,21512.0,Camberwell,"25,376"
3124,207011149.0,21512.0,Camberwell,"25,376"
3124,207011149.0,21512.0,Camberwell,"25,376"
3124,207011152.0,15898.0,Hawthorn East,"19,492"
3124,207011149.0,21512.0,Camberwell,"25,376"
3124,207011149.0,21512.0,Camberwell,"25,376"
3125,207031165.0,12543.0,Burwood,"16,225"
3125,207031165.0,12543.0,Burwood,"16,225"
3125,207011155.0,16090.0,Surrey Hills (West) - Canterbury,"18,434"
3126,207011155.0,16090.0,Surrey Hills (West) - Canterbury,"18,434"
3126,207011155.0,16090.0,Surrey Hills (West) - Canterbury,"18,434"
3127,207031167.0,10262.0,Surrey Hills (East) - Mont Albert,"11,120"
3127,207011155.0,16090.0,Surrey Hills (West) - Canterbury,"18,434"
3127,207011155.0,16090.0,Surrey Hills (West) - Canterbury,"18,434"
3128,207031163.0,23232.0,Box Hill,"29,766"
3128,207031163.0,23232.0,Box Hill,"29,766"
3128,207031163.0,23232.0,Box Hill,"29,766"
3128,207031163.0,23232.0,Box Hill,"29,766"
3128,207031165.0,12543.0,Burwood,"16,225"
3129,207031164.0,18304.0,Box Hill North,"19,583"
3129,207031164.0,18304.0,Box Hill North,"19,583"
3129,207031164.0,18304.0,Box Hill North,"19,583"
3130,207031161.0,22360.0,Blackburn,"24,899"
3130,207031161.0,22360.0,Blackburn,"24,899"
3130,207031162.0,11022.0,Blackburn South,"11,652"
3130,207031161.0,22360.0,Blackburn,"24,899"
3131,211041269.0,10866.0,Forest Hill,"12,205"
3131,211041269.0,10866.0,Forest Hill,"12,205"
3131,211041271.0,12522.0,Nunawading,"14,208"
3132,211041270.0,16935.0,Mitcham (Vic.),"18,433"
3132,211041270.0,16935.0,Mitcham (Vic.),"18,433"
3132,211021261.0,16406.0,Donvale - Park Orchards,"17,208"
3133,211041272.0,11083.0,Vermont,"11,746"
3133,211041273.0,12044.0,Vermont South,"13,001"
3134,211031267.0,21351.0,Ringwood East,"23,128"
3134,211031266.0,18919.0,Ringwood,"22,765"
3134,211031268.0,9726.0,Ringwood North,"10,411"
