SA2,Area Type,Area Name,2026
212041317,SA2,Springvale,"27,499"
212041318,SA2,Springvale South,"14,168"
212041459,SA2,Noble Park - East,"15,603"
212041460,SA2,Noble Park - West,"22,214"
212051319,SA2,Ashwood - Chadstone,"22,832"
212051320,SA2,Clayton,"31,229"
212051321,SA2,Glen Waverley - East,"23,211"
212051322,SA2,Glen Waverley - West,"23,718"
212051323,SA2,Mount Waverley - North,"17,419"
212051324,SA2,Mount Waverley - South,"21,936"
212051325,SA2,Mulgrave,"22,654"
212051326,SA2,Oakleigh - Huntingdale,"27,155"
212051327,SA2,Wheelers Hill,"21,851"
213011328,SA2,Ardeer - Albion,"9,454"
213011329,SA2,Cairnlea,"11,592"
213011330,SA2,Deer Park - Derrimut,"29,707"
213011331,SA2,Delahey,"8,997"
213011332,SA2,Keilor Downs,"14,035"
213011333,SA2,Kings Park (Vic.),"15,155"
213011334,SA2,St Albans - North,"23,657"
213011335,SA2,St Albans - South,"19,450"
213011336,SA2,Sunshine,"13,686"
213011337,SA2,Sunshine North,"14,412"
213011338,SA2,Sunshine West,"21,592"
213011339,SA2,Sydenham,"13,283"
213011340,SA2,Taylors Lakes,"18,413"
213021341,SA2,Altona,"15,099"
213021342,SA2,Altona Meadows,"21,088"
213021343,SA2,Altona North,"19,616"
213021344,SA2,Newport,"21,010"
213021345,SA2,Seabrook,"5,763"
213021346,SA2,Williamstown,"18,513"
213031347,SA2,Braybrook,"23,543"
213031348,SA2,Footscray,"32,211"
213031349,SA2,Maribyrnong,"18,384"
213031350,SA2,Seddon - Kingsville,"10,481"
213031351,SA2,West Footscray - Tottenham,"14,050"
213031352,SA2,Yarraville,"18,638"
213041353,SA2,Bacchus Marsh,"28,362"
213041355,SA2,Hillside,"37,029"
213041356,SA2,Melton,"22,284"
213041357,SA2,Melton South,"46,165"
213041358,SA2,Melton West,"24,450"
213041359,SA2,Rockbank - Mount Cottrell,"28,235"
213041360,SA2,Taylors Hill,"21,519"
213041461,SA2,Burnside,"6,109"
213041462,SA2,Burnside Heights,"7,241"
213041463,SA2,Caroline Springs,"22,442"
213051361,SA2,Hoppers Crossing - North,"20,843"
213051362,SA2,Hoppers Crossing - South,"20,980"
213051363,SA2,Laverton,"13,840"
213051365,SA2,Tarneit,"72,885"
213051366,SA2,Truganina,"44,678"
213051368,SA2,Werribee - South,"20,836"
213051369,SA2,Wyndham Vale,"44,369"
213051464,SA2,Point Cook - East,"21,479"
213051465,SA2,Point Cook - North,"26,250"
213051466,SA2,Point Cook - South,"23,098"
213051467,SA2,Werribee - East,"21,896"
213051468,SA2,Werribee - West,"29,304"
214011370,SA2,Carrum Downs,"24,262"
214011371,SA2,Frankston,"26,456"
214011372,SA2,Frankston North,"20,680"
214011373,SA2,Frankston South,"20,090"
214011374,SA2,Langwarrin,"26,887"
214011375,SA2,Seaford (Vic.),"18,856"
214011376,SA2,Skye - Sandhurst,"14,651"
214021377,SA2,Dromana,"13,947"
214021378,SA2,Flinders,"5,797"
214021379,SA2,Hastings - Somers,"26,100"
214021380,SA2,Mornington,"28,039"
214021381,SA2,Mount Eliza,"19,992"
214021382,SA2,Mount Martha,"21,847"
214021383,SA2,Point Nepean,"19,176"
214021384,SA2,Rosebud - McCrae,"24,450"
214021385,SA2,Somerville,"20,719"
215011386,SA2,Ararat,"8,617"
215011387,SA2,Ararat Region,"3,143"
215011388,SA2,Horsham,"16,991"
215011389,SA2,Horsham Region,"3,245"
215011390,SA2,Nhill Region,"6,254"
215011391,SA2,St Arnaud,"3,058"
215011392,SA2,Stawell,"7,848"
215011393,SA2,West Wimmera,"2,457"
215011394,SA2,Yarriambiack,"6,150"
215021395,SA2,Irymple,"7,358"
215021396,SA2,Merbein,"5,014"
215021398,SA2,Mildura Region,"3,503"
215021399,SA2,Red Cliffs,"6,239"
215021469,SA2,Mildura - North,"19,578"
215021470,SA2,Mildura - South,"16,887"
215031400,SA2,Buloke,"5,742"
215031401,SA2,Gannawarra,"6,471"
215031402,SA2,Kerang,"3,827"
215031403,SA2,Robinvale,"3,248"
215031404,SA2,Swan Hill,"11,463"
215031405,SA2,Swan Hill Region,"5,897"
216011406,SA2,Echuca,"15,407"
216011407,SA2,Kyabram,"11,106"
216011408,SA2,Lockington - Gunbower,"3,860"
216011409,SA2,Rochester,"3,957"
216011410,SA2,Rushworth,"3,916"
216021411,SA2,Cobram,"6,516"
216021412,SA2,Moira,"2,714"
216021413,SA2,Numurkah,"12,404"
216021414,SA2,Yarrawonga,"9,288"
216031415,SA2,Mooroopna,"8,240"
216031416,SA2,Shepparton - North,"21,297"
216031417,SA2,Shepparton - South,"26,940"
216031418,SA2,Shepparton Region - East,"3,870"
216031419,SA2,Shepparton Region - West,"10,525"
217011420,SA2,Glenelg (Vic.),"8,439"
217011421,SA2,Hamilton (Vic.),"10,114"
217011422,SA2,Portland,"10,945"
217011423,SA2,Southern Grampians,"5,851"
217031471,SA2,Camperdown,"3,427"
217031472,SA2,Colac,"13,026"
217031473,SA2,Colac Region,"5,240"
217031474,SA2,Corangamite - North,"5,114"
217031475,SA2,Corangamite - South,"6,883"
217031476,SA2,Otway,"3,650"
217041477,SA2,Moyne - East,"6,770"
217041478,SA2,Moyne - West,"10,612"
217041479,SA2,Warrnambool - North,"23,959"
217041480,SA2,Warrnambool - South,"13,577"
