DATAFLOW,SEXP: Sex,INCP: Total personal income (weekly),AGEP: Age,REGION: Region,REGION_TYPE: Region Type,STATE: State,TIME_PERIOD: Time Period,OBS_VALUE
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,206061516: South Yarra - South,SA2: Statistical Area Level 2,2: Victoria,2021,9132
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,212031562: Hampton Park - West,SA2: Statistical Area Level 2,2: Victoria,2021,10583
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,211011259: Wantirna,SA2: Statistical Area Level 2,2: Victoria,2021,6086
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,208041194: Malvern - Glen Iris,SA2: Statistical Area Level 2,2: Victoria,2021,9299
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,212031558: Cranbourne East - South,SA2: Statistical Area Level 2,2: Victoria,2021,4254
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,212021456: Narre Warren - South West,SA2: Statistical Area Level 2,2: Victoria,2021,6019
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,206041120: Flemington Racecourse,SA2: Statistical Area Level 2,2: Victoria,2021,47
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,212031458: Narre Warren South - West,SA2: Statistical Area Level 2,2: Victoria,2021,6541
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,216011409: Rochester,SA2: Statistical Area Level 2,2: Victoria,2021,1655
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,212041564: Dandenong - South,SA2: Statistical Area Level 2,2: Victoria,2021,7308
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,210051442: Craigieburn - North,SA2: Statistical Area Level 2,2: Victoria,2021,9158
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,206041127: West Melbourne - Industrial,SA2: Statistical Area Level 2,2: Victoria,2021,0
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,203021043: Lara,SA2: Statistical Area Level 2,2: Victoria,2021,16780
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,209021523: Reservoir - North East,SA2: Statistical Area Level 2,2: Victoria,2021,12607
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,204031073: West Wodonga,SA2: Statistical Area Level 2,2: Victoria,2021,6475
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,208031185: Carrum - Patterson Lakes,SA2: Statistical Area Level 2,2: Victoria,2021,5225
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,204011060: Seymour Surrounds,SA2: Statistical Area Level 2,2: Victoria,2021,3821
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,209041224: Wallan,SA2: Statistical Area Level 2,2: Victoria,2021,8507
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,208011170: Brighton East,SA2: Statistical Area Level 2,2: Victoria,2021,13357
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,202011023: Maiden Gully,SA2: Statistical Area Level 2,2: Victoria,2021,4157
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,204011056: Kilmore - Broadford,SA2: Statistical Area Level 2,2: Victoria,2021,6168
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,213011336: Sunshine,SA2: Statistical Area Level 2,2: Victoria,2021,7909
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,203021046: Newtown (Vic.),SA2: Statistical Area Level 2,2: Victoria,2021,8441
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,212031308: Pearcedale - Tooradin,SA2: Statistical Area Level 2,2: Victoria,2021,6493
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,205011078: Trafalgar (Vic.),SA2: Statistical Area Level 2,2: Victoria,2021,6807
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,203021042: Highton,SA2: Statistical Area Level 2,2: Victoria,2021,19623
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,212031300: Cranbourne,SA2: Statistical Area Level 2,2: Victoria,2021,8487
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,209011196: Bundoora - East,SA2: Statistical Area Level 2,2: Victoria,2021,4146
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,209011200: Ivanhoe,SA2: Statistical Area Level 2,2: Victoria,2021,10540
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,204011061: Upper Yarra Valley,SA2: Statistical Area Level 2,2: Victoria,2021,190
